movie_id,movie_name,year,genres
1,Inception,2010,Sci-Fi Thriller
2,The Dark Knight,2008,Action Crime Drama
3,Interstellar,2014,Sci-Fi Adventure Drama
4,Titanic,1997,Romance Drama
5,Avengers Endgame,2019,Action Sci-Fi
6,Joker,2019,Crime Drama
7,Avatar,2009,Sci-Fi Adventure
8,The Matrix,1999,Sci-Fi Action
9,Forrest Gump,1994,Drama Romance
10,Gladiator,2000,Action Drama
11,The Godfather,1972,Crime Drama
12,Pulp Fiction,1994,Crime Drama
13,Fight Club,1999,Drama
14,The Shawshank Redemption,1994,Drama
15,Black Panther,2018,Action Adventure
16,Dune,2021,Sci-Fi Adventure
17,Toy Story,1995,Animation Family
18,Frozen,2013,Animation Family
19,The Lion King,1994,Animation Adventure
20,Spider Man No Way Home,2021,Action Adventure
21,Iron Man,2008,Action Sci-Fi
22,Thor Ragnarok,2017,Action Comedy
23,Captain America Winter Soldier,2014,Action Thriller
24,Doctor Strange,2016,Sci-Fi Fantasy
25,The Avengers,2012,Action Sci-Fi
26,Batman Begins,2005,Action Crime
27,The Prestige,2006,Drama Mystery
28,Shutter Island,2010,Thriller Mystery
29,Goodfellas,1990,Crime Drama
30,The Departed,2006,Crime Thriller
31,Parasite,2019,Thriller Drama
32,Whiplash,2014,Drama Music
33,La La Land,2016,Romance Drama Music
34,Interstellar Dawn,2015,Sci-Fi Drama
35,Gravity,2013,Sci-Fi Thriller
36,Edge of Tomorrow,2014,Sci-Fi Action
37,Mad Max Fury Road,2015,Action Adventure
38,John Wick,2014,Action Thriller
39,John Wick Chapter 2,2017,Action Thriller
40,John Wick Chapter 3,2019,Action Thriller
41,The Batman,2022,Action Crime
42,Dune Part Two,2024,Sci-Fi Adventure
43,Oppenheimer,2023,Biography Drama
44,Barbie,2023,Comedy Fantasy
45,Top Gun Maverick,2022,Action Drama
46,Avengers Infinity War,2018,Action Sci-Fi
47,Guardians of the Galaxy,2014,Action Comedy
48,Guardians of the Galaxy Vol 2,2017,Action Comedy
49,Inside Out,2015,Animation Family
50,Coco,2017,Animation Family Music
