user_id,movie_id,rating,timestamp
1,1,5,2025-01-01
2,1,4,2025-01-02
3,2,5,2025-01-03
4,3,4,2025-01-04
5,4,3,2025-01-05
6,5,5,2025-01-06
7,6,4,2025-01-07
8,7,5,2025-01-08
9,8,4,2025-01-09
10,9,5,2025-01-10
11,10,3,2025-01-11
12,11,5,2025-01-12
13,12,4,2025-01-13
14,13,3,2025-01-14
15,14,5,2025-01-15
16,15,4,2025-01-16
17,16,5,2025-01-17
18,17,3,2025-01-18
19,18,4,2025-01-19
20,19,5,2025-01-20
21,20,4,2025-01-21
22,21,5,2025-01-22
23,22,3,2025-01-23
24,23,4,2025-01-24
25,24,5,2025-01-25
26,25,4,2025-01-26
27,26,5,2025-01-27
28,27,3,2025-01-28
29,28,4,2025-01-29
30,29,5,2025-01-30
31,30,4,2025-01-31
32,31,5,2025-02-01
33,32,3,2025-02-02
34,33,4,2025-02-03
35,34,5,2025-02-04
36,35,4,2025-02-05
37,36,5,2025-02-06
38,37,3,2025-02-07
39,38,4,2025-02-08
40,39,5,2025-02-09
41,40,4,2025-02-10
42,41,5,2025-02-11
43,42,3,2025-02-12
44,43,4,2025-02-13
45,44,5,2025-02-14
46,45,4,2025-02-15
47,46,5,2025-02-16
48,47,3,2025-02-17
49,48,4,2025-02-18
50,49,5,2025-02-19
